pid,lower_bound,upper_bound,actual_value,predicted_value,is_anomaly
3m8ox4y17m,-7.759360376737268,-2.164103623262731,-8.399999999999999,-4.961732,True
3m8ox4y17m,-7.759360376737268,-2.164103623262731,-7.989999999999998,-4.961732,True
3m8ox4y17m,-7.759360376737268,-2.164103623262731,-7.469999999999999,-4.961732,False
3m8ox4y17m,-7.759360376737268,-2.164103623262731,-7.3599999999999985,-4.961732,False
3m8ox4y17m,-7.759360376737268,-2.164103623262731,-7.219999999999999,-4.961732,False
3m8ox4y17m,-7.758283076737269,-2.1630263232627316,-6.98,-4.9606547,False
3m8ox4y17m,-7.757330876737268,-2.162074123262731,-6.52,-4.9597025,False
3m8ox4y17m,-7.756485376737269,-2.1612286232627316,-5.78,-4.958857,False
3m8ox4y17m,-7.755248076737269,-2.159991323262732,-5.670000000000001,-4.9576197,False
3m8ox4y17m,-7.752943376737268,-2.157686623262731,-4.9,-4.955315,False
3m8ox4y17m,-7.750360376737269,-2.1551036232627316,-5.06,-4.952732,False
3m8ox4y17m,-7.748263776737269,-2.153007023262732,-5.13,-4.9506354,False
3m8ox4y17m,-7.747147976737269,-2.151891223262732,-5.34,-4.9495196,False
3m8ox4y17m,-7.746776376737269,-2.1515196232627316,-5.85,-4.949148,False
3m8ox4y17m,-7.747654876737268,-2.1523981232627314,-5.47,-4.9500265,False
3m8ox4y17m,-7.748490776737269,-2.1532340232627316,-5.719999999999999,-4.9508624,False
3m8ox4y17m,-7.749494976737268,-2.1542382232627313,-5.89,-4.9518666,False
3m8ox4y17m,-7.750272376737269,-2.1550156232627318,-6.279999999999999,-4.952644,False
3m8ox4y17m,-7.750560376737268,-2.155303623262731,-5.989999999999999,-4.952932,False
3m8ox4y17m,-7.7514203767372685,-2.1561636232627315,-5.719999999999999,-4.953792,False
3m8ox4y17m,-7.751558376737268,-2.1563016232627312,-5.55,-4.95393,False
3m8ox4y17m,-7.751066376737269,-2.1558096232627317,-5.37,-4.953438,False
3m8ox4y17m,-7.749753376737268,-2.154496623262731,-5.09,-4.952125,False
3m8ox4y17m,-7.748538376737269,-2.153281623262732,-5.03,-4.95091,False
3m8ox4y17m,-7.747725376737269,-2.152468623262732,-5.380000000000001,-4.950097,False
3m8ox4y17m,-7.747006876737268,-2.1517501232627314,-4.919999999999999,-4.9493785,False
3m8ox4y17m,-7.746478076737269,-2.1512213232627317,-4.81,-4.9488497,False
3m8ox4y17m,-7.7462923767372684,-2.1510356232627315,-4.84,-4.948664,False
3m8ox4y17m,-7.746071376737269,-2.1508146232627317,-5.06,-4.948443,False
3m8ox4y17m,-7.745728376737269,-2.1504716232627317,-5.68,-4.9481,False
3m8ox4y17m,-7.746429376737268,-2.151172623262731,-5.64,-4.948801,False
3m8ox4y17m,-7.747340676737268,-2.1520839232627313,-5.199999999999999,-4.9497123,False
3m8ox4y17m,-7.748418376737268,-2.153161623262731,-5.62,-4.95079,False
3m8ox4y17m,-7.748890876737269,-2.153634123262732,-5.08,-4.9512625,False
3m8ox4y17m,-7.7480821767372685,-2.1528254232627315,-4.94,-4.9504538,False
3m8ox4y17m,-7.747514676737269,-2.1522579232627317,-5.390000000000001,-4.9498863,False
3m8ox4y17m,-7.747368376737269,-2.1521116232627318,-5.130000000000001,-4.94974,False
3m8ox4y17m,-7.7464963767372685,-2.1512396232627315,-4.749999999999999,-4.948868,False
3m8ox4y17m,-7.746284976737268,-2.151028223262731,-4.63,-4.9486566,False
3m8ox4y17m,-7.746000776737269,-2.1507440232627317,-4.7,-4.9483724,False
3m8ox4y17m,-7.745102376737268,-2.149845623262731,-5.05,-4.947474,False
3m8ox4y17m,-7.745150076737269,-2.1498933232627317,-5.96,-4.9475217,False
3m8ox4y17m,-7.746303076737268,-2.1510463232627313,-5.88,-4.9486747,False
3m8ox4y17m,-7.747982976737268,-2.1527262232627313,-5.95,-4.9503546,False
3m8ox4y17m,-7.749986576737268,-2.1547298232627314,-5.98,-4.9523582,False
3m8ox4y17m,-7.751262376737269,-2.1560056232627316,-5.669999999999999,-4.953634,False
3m8ox4y17m,-7.751163976737269,-2.155907223262732,-6.06,-4.9535356,False
3m8ox4y17m,-7.751453376737269,-2.1561966232627316,-6.53,-4.953825,False
3m8ox4y17m,-7.751981676737269,-2.1567249232627317,-6.43,-4.9543533,False
3m8ox4y17m,-7.752652376737268,-2.1573956232627314,-6.27,-4.955024,False
3m8ox4y17m,-7.753679676737269,-2.158422923262732,-6.279999999999999,-4.9560513,False
3m8ox4y17m,-7.754012076737268,-2.1587553232627315,-6.289999999999999,-4.9563837,False
3m8ox4y17m,-7.7540440767372685,-2.1587873232627315,-7.17,-4.9564157,False
3m8ox4y17m,-7.754586676737269,-2.1593299232627317,-7.0,-4.9569583,False
