pid,lower_bound,upper_bound,actual_value,predicted_value,is_anomaly
3m8ox4y17m,-7.973798715276746,-6.920435884723255,-8.399999999999999,-7.4471173,True
3m8ox4y17m,-7.973798715276746,-6.920435884723255,-7.989999999999998,-7.4471173,True
3m8ox4y17m,-7.973798715276746,-6.920435884723255,-7.469999999999999,-7.4471173,False
3m8ox4y17m,-7.973798715276746,-6.920435884723255,-7.3599999999999985,-7.4471173,False
3m8ox4y17m,-7.973798715276746,-6.920435884723255,-7.219999999999999,-7.4471173,False
3m8ox4y17m,-7.763000015276745,-6.709637184723254,-6.98,-7.2363186,False
3m8ox4y17m,-7.358719415276745,-6.305356584723254,-6.52,-6.832038,False
3m8ox4y17m,-6.676643415276746,-5.623280584723255,-5.78,-6.149962,False
3m8ox4y17m,-6.352612015276746,-5.299249184723255,-5.670000000000001,-5.8259306,False
3m8ox4y17m,-5.572542615276745,-4.519179784723255,-4.9,-5.0458612,False
3m8ox4y17m,-5.414742015276746,-4.361379184723255,-5.06,-4.8880606,False
3m8ox4y17m,-5.579362415276745,-4.525999584723254,-5.13,-5.052681,False
3m8ox4y17m,-5.779570115276745,-4.726207284723254,-5.34,-5.2528887,False
3m8ox4y17m,-6.199374715276745,-5.146011884723254,-5.85,-5.6726933,False
3m8ox4y17m,-6.053068115276745,-4.999705284723254,-5.47,-5.5263867,False
3m8ox4y17m,-6.110981915276746,-5.057619084723255,-5.719999999999999,-5.5843005,False
3m8ox4y17m,-6.375972415276745,-5.322609584723255,-5.89,-5.849291,False
3m8ox4y17m,-6.805090915276746,-5.751728084723255,-6.279999999999999,-6.2784095,False
3m8ox4y17m,-6.6321988152767455,-5.578835984723255,-5.989999999999999,-6.1055174,False
3m8ox4y17m,-6.354646715276745,-5.301283884723254,-5.719999999999999,-5.8279653,False
3m8ox4y17m,-6.174319415276745,-5.120956584723254,-5.55,-5.647638,False
3m8ox4y17m,-5.990492815276745,-4.937129984723255,-5.37,-5.4638114,False
3m8ox4y17m,-5.657295715276746,-4.603932884723255,-5.09,-5.1306143,False
3m8ox4y17m,-5.481170415276745,-4.427807584723254,-5.03,-4.954489,False
3m8ox4y17m,-5.764503415276746,-4.711140584723255,-5.380000000000001,-5.237822,False
3m8ox4y17m,-5.484603915276745,-4.431241084723254,-4.919999999999999,-4.9579225,False
3m8ox4y17m,-5.2263824152767455,-4.173019584723255,-4.81,-4.699701,False
3m8ox4y17m,-5.274777415276746,-4.221414584723255,-4.84,-4.748096,False
3m8ox4y17m,-5.393458415276745,-4.3400955847232545,-5.06,-4.866777,False
3m8ox4y17m,-6.017034015276745,-4.963671184723254,-5.68,-5.4903526,False
3m8ox4y17m,-6.122477015276745,-5.069114184723254,-5.64,-5.5957956,False
3m8ox4y17m,-5.764362415276746,-4.710999584723255,-5.199999999999999,-5.237681,False
3m8ox4y17m,-5.9649444152767455,-4.911581584723255,-5.62,-5.438263,False
3m8ox4y17m,-5.757586015276745,-4.704223184723254,-5.08,-5.2309046,False
3m8ox4y17m,-5.367788415276745,-4.314425584723255,-4.94,-4.841107,False
3m8ox4y17m,-5.722636415276745,-4.669273584723254,-5.390000000000001,-5.195955,False
3m8ox4y17m,-5.683124415276746,-4.629761584723255,-5.130000000000001,-5.156443,False
3m8ox4y17m,-5.256143115276745,-4.2027802847232545,-4.749999999999999,-4.7294617,False
3m8ox4y17m,-5.115737915276745,-4.0623750847232545,-4.63,-4.5890565,False
3m8ox4y17m,-5.0699601152767455,-4.016597284723255,-4.7,-4.5432787,False
3m8ox4y17m,-5.3282914152767455,-4.274928584723255,-5.05,-4.80161,False
3m8ox4y17m,-6.296261415276746,-5.242898584723255,-5.96,-5.76958,False
3m8ox4y17m,-6.420004415276745,-5.366641584723254,-5.88,-5.893323,False
3m8ox4y17m,-6.358194415276746,-5.304831584723255,-5.95,-5.831513,False
3m8ox4y17m,-6.509783415276745,-5.456420584723254,-5.98,-5.983102,False
3m8ox4y17m,-6.330758415276746,-5.277395584723255,-5.669999999999999,-5.804077,False
3m8ox4y17m,-6.519919415276745,-5.4665565847232545,-6.06,-5.993238,False
3m8ox4y17m,-7.086933415276746,-6.033570584723255,-6.53,-6.560252,False
3m8ox4y17m,-7.094646415276745,-6.041283584723255,-6.43,-6.567965,False
3m8ox4y17m,-6.901798715276746,-5.848435884723255,-6.27,-6.3751173,False
3m8ox4y17m,-6.898121415276745,-5.844758584723254,-6.279999999999999,-6.37144,False
3m8ox4y17m,-6.936994115276746,-5.883631284723255,-6.289999999999999,-6.4103127,False
3m8ox4y17m,-7.6736440152767456,-6.620281184723255,-7.17,-7.1469626,False
3m8ox4y17m,-7.757335415276746,-6.703972584723255,-7.0,-7.230654,False
3m8ox4y17m,-7.948658415276745,-6.895295584723255,-7.45,-7.421977,False
3m8ox4y17m,-8.028940415276745,-6.975577584723254,-7.34,-7.502259,False
3m8ox4y17m,-8.067122915276745,-7.013760084723255,-7.465454545454541,-7.5404415,False
3m8ox4y17m,-8.270554015276746,-7.217191184723255,-7.716363636363632,-7.7438726,False
3m8ox4y17m,-8.478241915276746,-7.424879084723255,-7.967272727272723,-7.9515605,False
3m8ox4y17m,-8.663727415276744,-7.610364584723254,-8.218181818181815,-8.137046,False
3m8ox4y17m,-8.831722415276744,-7.778359584723254,-8.469090909090905,-8.305041,False
3m8ox4y17n,-10.769188888141365,-7.436115111858638,-6.82,-9.102652,True
3m8ox4y17n,-10.769188888141365,-7.436115111858638,-7.119999999999999,-9.102652,True
3m8ox4y17n,-10.769188888141365,-7.436115111858638,-7.42,-9.102652,True
3m8ox4y17n,-10.769188888141365,-7.436115111858638,-8.4,-9.102652,False
3m8ox4y17n,-10.769188888141365,-7.436115111858638,-8.87,-9.102652,False
3m8ox4y17n,-10.845134888141363,-7.512061111858636,-9.07,-9.178598,False
3m8ox4y17n,-10.798081888141363,-7.465008111858636,-9.06,-9.131545,False
3m8ox4y17n,-10.839111888141364,-7.506038111858637,-9.42,-9.172575,False
3m8ox4y17n,-10.998685888141363,-7.6656121118586364,-9.54,-9.332149,False
3m8ox4y17n,-11.637504888141363,-8.304431111858635,-10.279999999999998,-9.970968,False
3m8ox4y17n,-12.140898888141363,-8.807825111858635,-10.499999999999998,-10.474362,False
3m8ox4y17n,-12.270942888141365,-8.937869111858637,-10.79,-10.604406,False
3m8ox4y17n,-12.980402888141365,-9.647329111858637,-11.38,-11.313866,False
3m8ox4y17n,-12.527448888141365,-9.194375111858637,-10.769999999999998,-10.860912,False
3m8ox4y17n,-12.368650888141364,-9.035577111858636,-10.91,-10.702114,False
3m8ox4y17n,-12.895908888141363,-9.562835111858636,-11.06,-11.229372,False
3m8ox4y17n,-13.077956888141363,-9.744883111858636,-11.760000000000002,-11.41142,False
3m8ox4y17n,-13.187121888141364,-9.854048111858637,-11.54,-11.520585,False
3m8ox4y17n,-13.166083888141364,-9.833010111858636,-11.81,-11.499547,False
3m8ox4y17n,-13.364994888141364,-10.031921111858637,-11.609999999999998,-11.698458,False
3m8ox4y17n,-13.306197888141364,-9.973124111858636,-11.909999999999998,-11.639661,False
3m8ox4y17n,-13.382089888141364,-10.049016111858636,-11.66,-11.715553,False
3m8ox4y17n,-13.164154888141363,-9.831081111858635,-11.669999999999998,-11.497618,False
3m8ox4y17n,-12.149701888141363,-8.816628111858636,-9.929999999999998,-10.483165,False
