pid,lower_bound,upper_bound,actual_value,predicted_value,is_anomaly
366IZ2gg7t,-26.188401902267167,-12.019819533279714,-15.0625,-19.10411071777344,False
366IZ2gg7t,-25.86889811808748,-11.700315749100023,-15.225,-18.78460693359375,False
366IZ2gg7t,-25.471748078414628,-11.303165709427171,-15.3875,-18.3874568939209,False
366IZ2gg7t,-25.114513123580643,-10.94593075459319,-15.55,-18.030221939086918,False
366IZ2gg7t,-24.86080714518709,-10.692224776199632,-15.7125,-17.77651596069336,False
366IZ2gg7t,-24.57948466593904,-10.410902296951585,-15.875,-17.495193481445312,False
366IZ2gg7t,-24.34520312602205,-10.176620757034593,-16.037499999999998,-17.26091194152832,False
366IZ2gg7t,-24.2687203531949,-10.100137984207445,-16.2,-17.184429168701172,False
366IZ2gg7t,-24.3480660563199,-10.179483687332445,-15.95,-17.263774871826172,False
366IZ2gg7t,-24.434734070846268,-10.266151701858812,-15.7,-17.35044288635254,False
366IZ2gg7t,-24.459005082198807,-10.29042271321135,-14.4,-17.374713897705078,False
366IZ2gg7t,-24.421760285445878,-10.253177916458421,-13.1,-17.33746910095215,False
366IZ2gg7t,-24.278381074020096,-10.10979870503264,-11.65,-17.194089889526367,False
366IZ2gg7t,-23.981755936690995,-9.813173567703538,-10.2,-16.897464752197266,False
366IZ2gg7t,-23.62153025920076,-9.452947890213304,-12.5,-16.53723907470703,False
366IZ2gg7t,-23.333203995773026,-9.16462162678557,-14.8,-16.248912811279297,False
366IZ2gg7t,-23.139009202071854,-8.970426833084398,-14.1,-16.054718017578125,False
366IZ2gg7t,-23.03417559916658,-8.865593230179124,-13.4,-15.949884414672852,False
366IZ2gg7t,-23.017158234664628,-8.848575865677171,-18.5,-15.932867050170898,False
366IZ2gg7t,-23.150945389815995,-8.982363020828538,-23.6,-16.066654205322266,True
366IZ2gg7t,-23.449866974899003,-9.281284605911546,-19.65,-16.365575790405273,False
366IZ2gg7t,-23.808110917159745,-9.639528548172288,-15.7,-16.723819732666016,False
366IZ2gg7t,-24.164113724776932,-9.995531355789476,-14.4,-17.079822540283203,False
366IZ2gg7t,-24.529609406539628,-10.361027037552171,-13.1,-17.4453182220459,False
366IZ2gg7t,-24.76705142314119,-10.598469054153734,-11.15,-17.68276023864746,False
366IZ2gg7t,-24.72998973185701,-10.561407362869554,-9.2,-17.64569854736328,True
366IZ2gg7t,-24.464063370773026,-10.29548100178557,-12.45,-17.379772186279297,False
366IZ2gg7t,-24.21592494303865,-10.047342574051195,-15.7,-17.131633758544922,False
366IZ2gg7t,-24.055350983688065,-9.886768614700609,-7.699999999999999,-16.971059799194336,True
366IZ2gg7t,-23.744199479171463,-9.575617110184007,0.3,-16.659908294677734,True
366IZ2gg7t,-23.03889342600984,-8.870311057022384,-7.45,-15.954602241516112,True
366IZ2gg7t,-22.20476886088533,-8.036186491897874,-15.2,-15.120477676391602,False
366IZ2gg7t,-21.568109238692948,-7.399526869705493,-7.199999999999999,-14.48381805419922,True
366IZ2gg7t,-20.711635315963456,-6.543052946976001,0.8,-13.627344131469728,True
366IZ2gg7t,-19.739829743453686,-5.571247374466232,-4.1000000000000005,-12.65553855895996,True
366IZ2gg7t,-18.516649926253983,-4.348067557266527,-9.0,-11.432358741760254,False
366IZ2gg7t,-17.90478965098543,-3.736207281997972,-6.0,-10.8204984664917,False
366IZ2gg7t,-16.3700968867032,-2.2015145177157454,-3.0,-9.285805702209473,False
366IZ2gg7t,-14.93604918772859,-0.767466818741136,-3.95,-7.851758003234863,False
366IZ2gg7t,-13.823390210220046,0.34519215876740894,-4.9,-6.739099025726318,False
366IZ2gg7t,-13.395909035751052,0.7726733332364031,-6.300000000000001,-6.311617851257324,False
366IZ2gg7t,-12.64463588053865,1.5239464884488054,-7.7,-5.560344696044922,False
