pid,lower_bound,upper_bound,actual_value,predicted_value,is_anomaly
17464,-35.02784177807923,-27.649644221920774,-33.3,-31.338743,False
17464,-35.02784177807923,-27.649644221920774,-29.1,-31.338743,False
17464,-35.02784177807923,-27.649644221920774,-29.1,-31.338743,False
17464,-35.02784177807923,-27.649644221920774,-30.6,-31.338743,False
17464,-35.02784177807923,-27.649644221920774,-32.4,-31.338743,False
17464,-35.716808778079226,-28.33861122192077,-33.2,-32.02771,False
17464,-37.08035877807923,-29.702161221920775,-34.8,-33.39126,False
17464,-37.47074177807923,-30.092544221920775,-32.9,-33.781643,False
17464,-36.34608477807923,-28.967887221920776,-29.5,-32.656986,False
17464,-35.69122877807923,-28.313031221920774,-30.8,-32.00213,False
17464,-35.664465778079226,-28.28626822192077,-31.9,-31.975367,False
17464,-35.83719277807923,-28.458995221920773,-32.6,-32.148094,False
17464,-34.859193778079224,-27.480996221920773,-28.8,-31.170095,False
17464,-35.13170677807923,-27.753509221920773,-31.8,-31.442608,False
17464,-33.417595778079225,-26.039398221920774,-25.4,-29.728497,True
17464,-32.298263778079225,-24.920066221920774,-27.2,-28.609165,False
17464,-31.591436778079228,-24.213239221920773,-27.1,-27.902338,False
17464,-31.847154778079226,-24.46895722192077,-28.7,-28.158056,False
17464,-32.73027077807922,-25.352073221920772,-31.4,-29.041172,False
17464,-34.47525877807922,-27.09706122192077,-32.9,-30.78616,False
17464,-35.34316477807923,-27.964967221920773,-31.9,-31.654066,False
17464,-36.108368778079225,-28.73017122192077,-32.6,-32.41927,False
17464,-35.28801577807923,-27.909818221920773,-28.7,-31.598917,False
17464,-33.949728778079226,-26.57153122192077,-27.6,-30.26063,False
17464,-31.814451778079228,-24.436254221920773,-24.1,-28.125353,True
17464,-32.111494778079226,-24.733297221920772,-30.5,-28.422396,False
17464,-32.180200778079225,-24.802003221920774,-28.6,-28.491102,False
17464,-33.01236377807923,-25.634166221920772,-30.9,-29.323265,False
17464,-33.38434877807923,-26.006151221920774,-29.5,-29.69525,False
17464,-34.045677778079224,-26.667480221920773,-30.3,-30.356579,False
17464,-34.000135778079226,-26.62193822192077,-29.9,-30.311037,False
16717,-54.64666329583279,-50.624744704167206,-50.1,-52.635704,True
16717,-54.64666329583279,-50.624744704167206,-50.9,-52.635704,False
16717,-54.64666329583279,-50.624744704167206,-51.8,-52.635704,False
16717,-54.64666329583279,-50.624744704167206,-52.1,-52.635704,False
16717,-54.64666329583279,-50.624744704167206,-53.9,-52.635704,False
16717,-55.45947229583279,-51.43755370416721,-53.4,-53.448513,False
16717,-55.690845295832794,-51.66892670416721,-52.8,-53.679886,False
16717,-55.27610929583279,-51.25419070416721,-51.4,-53.26515,False
16717,-54.99407929583279,-50.97216070416721,-52.4,-52.98312,False
16717,-54.81009629583279,-50.78817770416721,-52.3,-52.799137,False
16717,-55.146199295832794,-51.12428070416721,-53.7,-53.13524,False
