pid;latitude;longitude;height
3m8ox4y17m;51.110958;17.059494;121.5
3m8ox4y17n;51.110963;17.059539;120.8
3m8ox4y17t;51.111001;17.059848;118.6
3m8ox4yIAn;51.111069;17.059361;119.8
3m8ox4yIAo;51.111081;17.059457;121.5
3m8ox4yIAp;51.11109;17.059533;122.3
3m8ox4yIAq;51.111093;17.05956;120.8
3m8ox4yIAu;51.111182;17.060295;144.1
3m8ox4yIAw;51.111185;17.060322;139.7
3m8ox4yIAx;51.111139;17.059939;119
3m8ox4yIAz;51.111154;17.060059;119.1
3m8ox4yIB1;51.111174;17.060224;121.2
3m8ox4yIB7;51.111217;17.060582;121.3
3m8ox4yIB8;51.111213;17.060543;116.7
3m8ox4yZDo;51.111186;17.05927;120.1
3m8ox4yZDp;51.111192;17.059319;119.6
3m8ox4yZDq;51.111201;17.059397;120.5
3m8ox4yZDr;51.111209;17.059466;120.9
3m8ox4yZDs;51.111214;17.059507;120.1
3m8ox4yZDu;51.111232;17.059655;121.5
3m8ox4yZDx;51.111251;17.059812;120.4
3m8ox4yZE1;51.111279;17.060041;120
3m8ox4yZE3;51.111298;17.060192;121.5
3m8ox4yZE4;51.111303;17.060236;120.8
3m8ox4yZE7;51.111317;17.060355;118
3m8ox4yZE8;51.11133;17.060456;120
3m8ox4yZEB;51.111352;17.060639;120.2
3m8ox4yqGn;51.111285;17.059042;119.6
3m8ox4yqGo;51.111293;17.059104;119.7
3m8ox4yqGq;51.111311;17.059253;121.1
3m8ox4yqGr;51.111315;17.059287;120
3m8ox4yqGt;51.11133;17.059409;120.1
3m8ox4yqGy;51.111369;17.059733;121.3
3m8ox4yqH8;51.111442;17.060335;121.7
3m8ox4yqHB;51.111462;17.060499;121
3m8ox4yqHC;51.111471;17.060573;121.7
3m8ox4yqHE;51.111515;17.060932;132.9
3m8ox4yqHF;51.111528;17.061046;135.5
3m8ox4yqHK;51.111564;17.061339;135.3
3m8ox4z7Jt;51.111437;17.059241;119.6
3m8ox4z7Jx;51.111466;17.059479;119.6
3m8ox4z7Jy;51.111478;17.059581;121.6
3m8ox4z7K3;51.111512;17.059857;120.6
3m8ox4z7K9;51.111555;17.06021;120.4
3m8ox4z7KA;51.111564;17.060286;121.2
3m8ox4z7KB;51.111576;17.060386;123
3m8ox4z7KD;51.111584;17.060455;120.7
3m8ox4z7KI;51.111632;17.060849;125.2
3m8ox4z7KJ;51.111647;17.060973;128.3
3m8ox4z7KO;51.111694;17.061357;132.3
3m8ox4zOMy;51.111583;17.05939;120
3m8ox4zOMz;51.11159;17.059448;119.9
3m8ox4zON1;51.111608;17.059601;121.5
3m8ox4zON3;51.111619;17.059692;120.2
3m8ox4zON4;51.111627;17.059756;120.4
3m8ox4zON7;51.111647;17.059919;119.7
3m8ox4zONA;51.111668;17.060089;119.3
3m8ox4zONB;51.111675;17.060151;119.4
3m8ox4zONC;51.111682;17.060209;119.4
3m8ox4zONE;51.111701;17.060363;121
3m8ox4zONF;51.111706;17.060408;120.3
3m8ox4zONG;51.111715;17.060476;120.7
3m8ox4zONH;51.11172;17.060523;120.1
3m8ox4zONI;51.111729;17.060593;120.6
3m8ox4zONK;51.111745;17.060731;121.5
3m8ox4zONL;51.111755;17.060809;122.4
3m8ox4zONM;51.111755;17.060806;119.5
3m8ox4zONN;51.111799;17.061172;133.8
3m8ox4zONP;51.111777;17.060994;119.9
3m8ox4zONR;51.11182;17.061345;130.8
3m8ox4zONS;51.111831;17.061437;132.3
3m8ox4zONT;51.111833;17.061457;130.4
3m8ox4zONW;51.111829;17.061418;120.3
3m8ox4zONX;51.11184;17.061514;121.9
3m8ox4zONY;51.111854;17.061629;124.6
3m8ox4zONb;51.111869;17.061749;121.8
3m8ox4zONc;51.111889;17.061917;126.9
3m8ox4zONe;51.111895;17.06196;123.4
3m8ox4zONf;51.111884;17.061874;116.5
3m8ox4zONg;51.111921;17.062178;128
3m8ox4zONh;51.111928;17.062234;127.9
3m8ox4zONk;51.111936;17.062301;122.6
3m8ox4zfQA;51.111777;17.059936;119.5
3m8ox4zfQD;51.111796;17.0601;118.8
3m8ox4zfQE;51.111805;17.060167;119.2
3m8ox4zfQF;51.111815;17.060256;120.5
3m8ox4zfQG;51.111821;17.060302;119.9
3m8ox4zfQI;51.111834;17.060408;119.3
3m8ox4zfQM;51.111862;17.060643;119.2
3m8ox4zfQQ;51.111902;17.06097;123.3
3m8ox4zfQR;51.111911;17.061044;124
3m8ox4zfQS;51.111907;17.06101;119.6
3m8ox4zfQV;51.111937;17.061263;123.1
3m8ox4zfQZ;51.111959;17.061443;120.4
3m8ox4zfQg;51.11201;17.061862;120.6
3m8ox4zfQk;51.112047;17.062168;123.7
3m8ox4zfQl;51.112044;17.062137;119.5
3m8ox4zfQo;51.112103;17.062632;134.3
3m8ox4zfQq;51.112084;17.062472;121.3
3m8ox4zfQu;51.112117;17.062742;122.8
3m8ox4zwTO;51.111986;17.06061;119.4
3m8ox4zwTP;51.111994;17.060674;119.6
3m8ox4zwTQ;51.111999;17.06072;119
3m8ox4zwTT;51.112022;17.060912;119.6
3m8ox4zwTV;51.112037;17.061033;119.7
3m8ox4zwTW;51.112063;17.061245;126.9
3m8ox4zwTX;51.112075;17.061349;129
3m8ox4zwTY;51.112074;17.061341;125.8
3m8ox4zwTa;51.112074;17.061339;120.1
3m8ox4zwTc;51.112094;17.061498;122
3m8ox4zwTe;51.112109;17.061621;122.2
3m8ox4zwTg;51.112123;17.061738;122.1
3m8ox4zwTj;51.11214;17.061881;120.5
3m8ox4zwTk;51.112142;17.0619;118.6
3m8ox4zwTn;51.112177;17.062186;123.6
3m8ox4zwTo;51.112169;17.062121;117.8
