pid,longitude,latitude,height
366IZ2H6bV,16.960693,50.488064,235.6
366IZ2HNeZ,16.960783,50.487925,224.0
366IZ2NQaW,16.991725,50.481335,223.4
366IZ2OnzU,16.956001,50.485067,222.8
366IZ2RYJ2,16.994778,50.479049,218.6
366IZ2acuG,16.996619,50.474615,217.0
366IZ2cHCT,16.996246,50.473896,221.3
366IZ2cYFY,16.99595,50.473804,225.2
366IZ2cpIW,16.996291,50.473635,218.3
366IZ2cpIX,16.996199,50.473646,220.0
366IZ2cpIZ,16.995975,50.473674,225.0
366IZ2cpIc,16.995756,50.473701,227.1
366IZ2d6LV,16.996456,50.473487,217.1
366IZ2d6LY,16.996211,50.473517,220.4
366IZ2d6LZ,16.996148,50.473525,220.6
366IZ2d6Lc,16.99586,50.47356,225.9
366IZ2dNOb,16.996078,50.473406,222.1
366IZ2dNOc,16.996048,50.47341,220.8
366IZ2deRb,16.996134,50.473272,223.2
366IZ2deRd,16.996103,50.473276,219.1
366IZ2deRe,16.996016,50.473286,220.5
366IZ2deRg,16.995758,50.473318,227.2
366IZ2deRh,16.995718,50.473323,226.3
366IZ2deRi,16.995721,50.473322,223.4
366IZ2deaQ,16.963932,50.477213,232.4
366IZ2dvUe,16.99604,50.473156,223.2
366IZ2dvUg,16.995957,50.473166,221.5
366IZ2dvdS,16.963865,50.477094,233.8
366IZ2eCXX,16.996629,50.472956,218.4
366IZ2eCXY,16.996536,50.472967,220.1
366IZ2eCXc,16.996262,50.473001,222.0
366IZ2eCXf,16.996088,50.473022,221.9
366IZ2eCXj,16.995882,50.473048,220.5
366IZ2eCXk,16.995749,50.473064,224.0
366IZ2eCXm,16.995663,50.473074,222.6
366IZ2eTag,16.995965,50.47291,228.7
366IZ2eTai,16.995932,50.472914,224.7
366IZ2eTaj,16.99592,50.472915,222.5
366IZ2eTak,16.995882,50.47292,221.5
366IZ2eTar,16.995394,50.47298,225.2
366IZ2eTas,16.995504,50.472966,217.2
366IZ2eTjW,16.963866,50.476839,230.2
366IZ2ekdp,16.995554,50.472833,227.0
366IZ2ekdq,16.995691,50.472816,217.6
366IZ2eklW,16.967455,50.476272,235.6
366IZ2eklY,16.967513,50.476265,227.2
366IZ2eklZ,16.967451,50.476273,227.4
366IZ2ekmX,16.963909,50.476706,229.2
366IZ2ekmY,16.963904,50.476707,226.6
366IZ2f1gn,16.995882,50.472665,220.8
366IZ2f1gs,16.995571,50.472703,221.6
366IZ2f1oS,16.9679,50.47609,229.3
366IZ2f1oW,16.967597,50.476127,232.6
366IZ2f1oc,16.967324,50.476161,228.9
366IZ2f1oy,16.965872,50.476338,236.9
366IZ2f1q4,16.962091,50.476801,227.8
366IZ2fIjt,16.995437,50.472592,229.0
366IZ2fIjv,16.995386,50.472598,225.9
366IZ2fIrb,16.967325,50.476033,235.5
366IZ2fIrf,16.967302,50.476036,225.4
366IZ2fIsS,16.964099,50.476427,241.7
366IZ2fIsY,16.963887,50.476454,235.1
366IZ2fIsZ,16.963892,50.476453,232.0
366IZ2fIsa,16.96393,50.476448,227.4
366IZ2fIt3,16.962305,50.476647,224.1
366IZ2fIt5,16.962198,50.47666,223.7
366IZ2fIt8,16.961954,50.47669,227.0
366IZ2fItL,16.961024,50.476803,235.1
366IZ2fZmv,16.995493,50.472458,224.6
366IZ2fZmw,16.995359,50.472474,228.1
366IZ2fZvU,16.964153,50.476293,237.3
366IZ2fZvV,16.964075,50.476303,238.2
366IZ2fZvZ,16.963968,50.476316,232.2
366IZ2fZva,16.963792,50.476338,237.8
366IZ2fZvb,16.963872,50.476328,231.2
366IZ2fZve,16.963814,50.476335,225.6
366IZ2fZvg,16.963715,50.476347,224.7
366IZ2fZw9,16.961994,50.476558,226.1
366IZ2fZwO,16.960985,50.476681,232.4
366IZ2fZwQ,16.960957,50.476684,228.2
366IZ2fZwR,16.960927,50.476688,226.8
366IZ2fZwV,16.960591,50.476729,231.7
366IZ2fqpz,16.995291,50.472355,226.8
366IZ2fqy3,16.965804,50.475964,237.6
366IZ2fqyh,16.963723,50.476219,225.4
366IZ2fqz8,16.962106,50.476416,227.3
366IZ2fqz9,16.96208,50.47642,225.7
366IZ2fqzB,16.961887,50.476443,229.4
366IZ2fqzR,16.960949,50.476558,229.6
366IZ2fqzT,16.960918,50.476562,225.5
366IZ2fqzU,16.960653,50.476594,235.4
366IZ2fqzW,16.960654,50.476594,229.7
366IZ2fqzY,16.960581,50.476603,227.6
366IZ2fqzb,16.960401,50.476625,227.8
366IZ2fqzf,16.960102,50.476661,231.0
366IZ2fqzh,16.960084,50.476664,226.3
366IZ2g7t1,16.995255,50.472232,226.7
366IZ2g7t2,16.995354,50.47222,219.2
366IZ2g81i,16.963727,50.476091,226.1
366IZ2g81m,16.963557,50.476112,223.1
366IZ2g81p,16.963316,50.476141,226.3
366IZ2g81q,16.963313,50.476141,223.6
366IZ2g82D,16.961882,50.476316,227.8
366IZ2g82E,16.961842,50.476321,227.0
366IZ2g82Q,16.96106,50.476417,230.9
366IZ2g82R,16.961043,50.476419,228.9
366IZ2g82T,16.960823,50.476446,233.8
366IZ2g82d,16.960262,50.476514,232.7
366IZ2g82i,16.96009,50.476535,227.0
366IZ2g82j,16.960041,50.476541,226.5
366IZ2gOw3,16.995304,50.472098,222.6
366IZ2gOw4,16.99534,50.472094,218.1
366IZ2gP4Y,16.964384,50.475883,226.5
366IZ2gP4k,16.963742,50.475961,223.7
366IZ2gP4q,16.963363,50.476008,225.0
366IZ2gP5F,16.961845,50.476193,227.8
366IZ2gP5L,16.961259,50.476265,239.1
366IZ2gP5S,16.96091,50.476307,236.2
366IZ2gP5U,16.960849,50.476315,233.5
366IZ2gP5e,16.960288,50.476384,232.5
366IZ2gP5h,16.960234,50.47639,226.7
366IZ2gP5i,16.960193,50.476395,225.8
366IZ2gP5k,16.960169,50.476398,221.4
366IZ2gfyz,16.995593,50.471935,223.8
366IZ2gg7s,16.963315,50.475886,225.5
366IZ2gg7t,16.963316,50.475886,222.7
366IZ2gg8K,16.961599,50.476096,229.4
366IZ2gg8L,16.961526,50.476105,230.1
366IZ2gg8S,16.960823,50.47619,244.2
366IZ2gg8T,16.960826,50.47619,241.2
366IZ2gg8V,16.960833,50.476189,235.3
366IZ2gg8a,16.96073,50.476202,226.3
366IZ2gg8g,16.960197,50.476267,235.0
366IZ2gg8i,16.960321,50.476252,223.5
366IZ2gx21,16.995637,50.471802,219.9
366IZ2gx22,16.995598,50.471807,219.0
366IZ2gx28,16.995203,50.471856,221.0
366IZ2gxBK,16.96166,50.475961,230.2
366IZ2gxBL,16.961467,50.475984,236.7
366IZ2gxBP,16.961151,50.476023,240.7
366IZ2gxBU,16.960845,50.47606,241.3
366IZ2gxBV,16.960894,50.476054,236.2
366IZ2gxBc,16.960672,50.476082,227.3
366IZ2gxBe,16.960557,50.476096,227.2
366IZ2gxBk,16.960323,50.476124,221.6
366IZ2hE53,16.995612,50.471678,219.3
366IZ2hE54,16.995503,50.471691,221.7
366IZ2hEEF,16.961876,50.475807,237.7
366IZ2hEEG,16.961896,50.475804,233.9
366IZ2hEEL,16.961724,50.475826,228.2
366IZ2hEEM,16.961541,50.475848,234.2
366IZ2hEEO,16.96162,50.475838,224.8
366IZ2hEEP,16.961282,50.475879,238.2
366IZ2hEES,16.961272,50.475881,230.3
366IZ2hEEZ,16.960777,50.475941,234.4
366IZ2hEEc,16.960753,50.475944,227.2
366IZ2hVHR,16.961314,50.475748,234.8
366IZ2hVHS,16.961301,50.47575,232.7
366IZ2hVHa,16.960829,50.475807,232.9
366IZ2hmKd,16.960848,50.475678,227.4
366IZ2i3EF,16.995045,50.471365,224.2
366IZ2i3EI,16.994858,50.471388,224.7
366IZ2i3EK,16.99473,50.471403,225.2
366IZ2i3EL,16.994744,50.471402,221.8
366IZ2i3EM,16.994676,50.47141,222.2
366IZ2i3EN,16.994594,50.47142,223.3
366IZ2i3EO,16.994545,50.471426,222.9
366IZ2iKHM,16.994692,50.471281,225.2
366IZ2iKHN,16.99472,50.471277,221.1
366IZ2iKHO,16.994624,50.471289,222.9
366IZ2iKHP,16.99456,50.471297,223.2
366IZ2iKHQ,16.994443,50.471311,225.9
366IZ2ibKO,16.994758,50.471145,220.3
366IZ2j9QV,16.994304,50.470945,230.0
