pid,latitude,longitude,height
3Y9Gx5llyC,51.108383,17.070021,121.8
3Y9Gx5m31G,51.10827,17.069893,121.7
3Y9Gx5m31L,51.108296,17.069641,122.3
3Y9Gx5m31M,51.1083,17.069607,121.3
3Y9Gx5m31Q,51.108319,17.069418,121.0
3Y9Gx5mK4H,51.108141,17.06992,121.0
3Y9Gx5mK4J,51.108151,17.069827,120.7
3Y9Gx5mK4M,51.108166,17.06968,120.8
3Y9Gx5mK4P,51.108182,17.06952,121.7
3Y9Gx5mb7F,51.108,17.070069,121.9
3Y9Gx5mb7K,51.108022,17.06985,120.3
3Y9Gx5mb7N,51.108038,17.069699,120.6
3Y9Gx5mb7Q,51.108052,17.069558,120.3
3Y9Gx5mb7R,51.108058,17.069499,121.0
3Y9Gx5mb7S,51.108063,17.06945,121.0
