pid,latitude,longitude,height
3Y9Gx5WvKL,51.114989,17.072128,120.4
3Y9Gx5WvKM,51.114995,17.072064,121.4
3Y9Gx5XCNB,51.114806,17.07268,120.4
3Y9Gx5XCNC,51.114811,17.07263,120.4
3Y9Gx5XCNE,51.114822,17.072524,121.0
3Y9Gx5XCNG,51.114832,17.072421,121.4
3Y9Gx5XCNI,51.114845,17.072297,123.1
3Y9Gx5XCNJ,51.114844,17.072304,119.5
3Y9Gx5XCNM,51.114861,17.072138,120.8
3Y9Gx5XCNP,51.114875,17.072008,119.8
3Y9Gx5XCNQ,51.114882,17.071934,121.4
3Y9Gx5XCNW,51.114916,17.071605,123.8
3Y9Gx5XTQE,51.114687,17.0726,120.3
3Y9Gx5XTQF,51.114694,17.072536,121.3
3Y9Gx5XTQG,51.114698,17.072501,120.4
3Y9Gx5XTQJ,51.114713,17.072355,120.4
3Y9Gx5XTQK,51.114716,17.072321,119.4
3Y9Gx5XTQM,51.11473,17.072185,122.0
3Y9Gx5XTQU,51.114768,17.071815,120.7
3Y9Gx5XTQV,51.114772,17.071779,119.9
3Y9Gx5XkTJ,51.11458,17.072416,120.7
3Y9Gx5XkTK,51.114585,17.072366,120.7
3Y9Gx5XkTL,51.11459,17.072321,120.5
3Y9Gx5XkTP,51.11461,17.072128,120.4
3Y9Gx5XkTR,51.11462,17.072026,120.7
3Y9Gx5XkTW,51.114643,17.071803,119.4
