Date,3m8ox4pDb7,3m8ox4pDbC,3m8ox4pDbE,3m8ox4pUeB,3m8ox4pUeC,3m8ox4pUeF,3m8ox4plhC,3m8ox4plhE,3m8ox4plhH
2015-02-02,-2.1545454545454543,0.43272727272727235,-1.8236363636363622,-1.56909090909091,-2.618181818181818,-1.6672727272727297,-1.8090909090909095,-3.910909090909093,-1.440000000000001
2015-02-08,-1.7457575757575754,0.8521212121212118,-1.1806060606060593,-1.0081818181818187,-1.9463636363636363,-0.44121212121212317,-1.6415151515151518,-3.515151515151517,-0.8266666666666674
2015-02-14,-1.3369696969696965,1.2715151515151513,-0.5375757575757563,-0.4472727272727277,-1.2745454545454544,0.7848484848484834,-1.473939393939394,-3.119393939393941,-0.21333333333333382
2015-02-20,-0.9281818181818178,1.690909090909091,0.10545454545454658,0.11363636363636354,-0.6027272727272726,2.01090909090909,-1.3063636363636364,-2.7236363636363645,0.3999999999999997
2015-02-26,-0.5193939393939389,2.1103030303030303,0.7484848484848496,0.6745454545454546,0.06909090909090931,3.2369696969696964,-1.1387878787878787,-2.3278787878787885,1.0133333333333334
2015-03-04,0.05499999999999979,2.66,1.13,1.6449999999999996,1.2549999999999997,5.83,-0.8049999999999999,-1.4900000000000004,1.8599999999999997
2015-03-10,0.6049999999999998,3.345,1.6649999999999998,2.505,2.0349999999999997,6.61,-0.6699999999999999,-0.9049999999999999,2.11
2015-03-16,1.335,4.375000000000001,2.6750000000000003,3.535,2.7449999999999997,6.1899999999999995,-0.6499999999999999,-0.375,2.0700000000000003
2015-03-22,1.8649999999999995,4.9975000000000005,3.31,4.397500000000001,3.0599999999999996,5.745,-0.715,0.07249999999999979,1.7574999999999998
2015-03-28,2.195,5.2125,3.57,5.092499999999999,2.9799999999999995,5.275,-0.865,0.4374999999999996,1.1724999999999999
2015-04-03,2.34,5.315,3.6399999999999997,5.479999999999999,2.685,5.11,-1.075,0.8399999999999996,0.9600000000000002
2015-04-09,2.3,5.305,3.5199999999999996,5.559999999999999,2.175,5.25,-1.345,1.2799999999999998,1.12
2015-04-15,2.2949999999999995,5.26,3.685,5.864999999999999,2.06,5.265,-1.4249999999999998,1.8999999999999997,1.2449999999999997
2015-04-21,2.3249999999999993,5.18,4.135,6.395,2.34,5.155,-1.3149999999999995,2.6999999999999997,1.3349999999999995
2015-04-27,2.8299999999999996,5.505,4.76,7.13,2.485,5.29,-1.5749999999999997,3.275,2.0049999999999994
2015-05-03,3.8099999999999996,6.235,5.56,8.07,2.495,5.67,-2.2050000000000005,3.625,3.255
2015-05-09,4.164999999999999,6.665,6.045,8.64,2.1550000000000002,5.875,-2.805,3.655,3.8649999999999998
2015-05-15,3.895,6.795,6.215,8.840000000000002,1.465,5.904999999999999,-3.3750000000000004,3.3649999999999998,3.8349999999999995
2015-05-21,3.71,6.875,6.344999999999999,8.865,0.9949999999999999,5.84,-3.69,2.945,4.135
2015-05-27,3.61,6.904999999999999,6.434999999999999,8.715000000000002,0.7449999999999999,5.68,-3.7499999999999996,2.395,4.765
2015-06-02,3.7674999999999996,6.987499999999999,6.555,8.8,0.79,5.185,-4.05,2.0525,5.175
2015-06-08,4.1825,7.1225,6.705,9.12,1.13,4.3549999999999995,-4.59,1.9175000000000004,5.365
2015-06-14,4.865,7.584999999999999,6.734999999999999,9.645,1.46,4.43,-5.6000000000000005,1.6350000000000011,5.82
2015-06-20,5.815,8.375,6.645,10.375,1.7799999999999998,5.409999999999999,-7.08,1.2050000000000007,6.54
2015-06-26,6.275,8.8225,6.6625000000000005,10.834999999999997,2.1624999999999996,5.47,-8.04,1.12,7.074999999999999
2015-07-02,6.244999999999998,8.9275,6.7875,11.025,2.607499999999999,4.6099999999999985,-8.479999999999999,1.3799999999999997,7.425
2015-07-08,6.62,9.040000000000001,6.96,11.245000000000001,3.204999999999999,3.999999999999999,-8.764999999999999,1.7549999999999997,8.14
2015-07-14,7.3999999999999995,9.16,7.179999999999999,11.495,3.954999999999999,3.639999999999999,-8.895,2.2449999999999997,9.22
2015-07-20,7.9399999999999995,9.27,7.26,11.589999999999998,4.389999999999999,3.965,-8.83,2.7199999999999993,10.015
2015-07-26,8.24,9.370000000000001,7.199999999999998,11.529999999999998,4.51,4.975,-8.57,3.1799999999999993,10.525
2015-08-01,8.1375,9.1125,6.88,10.889999999999999,4.329999999999999,5.109999999999999,-8.235,3.6125,10.345
2015-08-07,7.632499999999999,8.4975,6.3,9.67,3.8499999999999996,4.37,-7.824999999999999,4.0175,9.475
