pid,longitude,latitude,height
366IZ1Lt2t,17.286442,50.474334,206.1
366IZ1Lt2u,17.286523,50.474324,199.7
366IZ1MR8j,17.287383,50.473961,198.6
366IZ1MR8v,17.286671,50.474051,197.8
366IZ1MiBi,17.287448,50.473826,202.2
366IZ1MiBj,17.287463,50.473824,198.8
366IZ1MiBr,17.287053,50.473875,195.3
366IZ1MiBx,17.286598,50.473932,199.4
366IZ1MzEN,17.289159,50.473484,186.4
366IZ1MzEl,17.287484,50.473694,196.1
366IZ1MzF0,17.2865,50.473816,199.3
366IZ1MzF1,17.286407,50.473828,200.8
366IZ1MzF2,17.286275,50.473845,204.0
366IZ1MzFM,17.285065,50.473996,203.7
366IZ1MzFN,17.285041,50.473999,202.0
366IZ1MzFO,17.28494,50.474012,203.9
366IZ1NGH3,17.290301,50.473214,193.6
366IZ1NGH4,17.29024,50.473221,193.5
366IZ1NGH8,17.290013,50.47325,192.8
366IZ1NGH9,17.289941,50.473258,193.3
366IZ1NGHB,17.289844,50.473271,192.2
366IZ1NGHF,17.289648,50.473295,190.0
366IZ1NGHH,17.289639,50.473296,185.0
366IZ1NGHL,17.289213,50.47335,193.2
366IZ1NGHh,17.287851,50.47352,194.3
366IZ1NGHi,17.287693,50.47354,198.7
366IZ1NGI4,17.286218,50.473724,204.8
366IZ1NGI5,17.286257,50.473719,200.3
366IZ1NGIQ,17.284901,50.473889,203.9
366IZ1NGIR,17.284918,50.473887,200.3
366IZ1NXK9,17.289988,50.473125,194.9
366IZ1NXKC,17.289875,50.473139,191.8
366IZ1NXKD,17.289797,50.473149,192.6
366IZ1NXKH,17.289632,50.47317,189.0
366IZ1NXKJ,17.289634,50.473169,183.5
366IZ1NXKP,17.289006,50.473248,195.3
366IZ1NXKQ,17.288973,50.473252,194.1
366IZ1NXKU,17.288808,50.473273,190.5
366IZ1NXKY,17.28853,50.473307,192.1
366IZ1NXKb,17.288346,50.47333,192.2
366IZ1NXKj,17.28781,50.473397,194.4
366IZ1NXKk,17.287747,50.473405,194.5
366IZ1NoNO,17.28921,50.473095,192.6
366IZ1NoNP,17.289096,50.473109,195.0
366IZ1NoNQ,17.289019,50.473119,195.8
