pid,longitude,latitude,height
366IZ1qyHl,17.11698,50.480978,215.4
366IZ1qyJT,17.110651,50.48176,216.5
366IZ1qyJl,17.109398,50.481914,225.0
366IZ1rFKn,17.116841,50.480867,220.1
366IZ1rFMU,17.110582,50.48164,220.7
366IZ1rFMV,17.110619,50.481636,216.2
366IZ1rFMX,17.110363,50.481667,222.6
366IZ1rFMo,17.109345,50.481793,223.0
366IZ1rWNo,17.116828,50.480741,221.7
366IZ1rWPH,17.111503,50.481399,217.6
366IZ1rWPI,17.111505,50.481399,214.7
366IZ1rWPV,17.110656,50.481504,218.3
366IZ1rWPW,17.110694,50.481499,213.7
366IZ1rWPX,17.110578,50.481513,216.4
366IZ1rWPY,17.110548,50.481517,215.0
366IZ1rWPZ,17.11043,50.481532,217.8
366IZ1rWPr,17.109354,50.481664,218.0
366IZ1rWQB,17.108197,50.481807,216.5
366IZ1rWQD,17.108031,50.481828,218.7
366IZ1rWQG,17.107946,50.481838,214.4
366IZ1rWQS,17.107148,50.481937,218.3
366IZ1rWQa,17.106602,50.482004,221.6
366IZ1rWQw,17.105377,50.482156,217.7
366IZ1rWR5,17.104834,50.482223,218.1
366IZ1rWRR,17.103525,50.482384,218.2
366IZ1rWRT,17.103403,50.482399,218.4
366IZ1rWRV,17.103256,50.482417,219.7
366IZ1rWSI,17.100374,50.482773,218.4
366IZ1rWSJ,17.100364,50.482774,216.1
366IZ1rWSK,17.10033,50.482779,214.9
366IZ1rWSP,17.099999,50.482819,216.5
366IZ1rWSn,17.098525,50.483001,218.8
366IZ1rWSo,17.098417,50.483015,221.1
366IZ1rWSq,17.098369,50.483021,217.8
366IZ1rWSw,17.098083,50.483056,214.5
366IZ1rWSy,17.097873,50.483082,218.7
366IZ1rWT6,17.097485,50.48313,214.7
366IZ1rWTG,17.096855,50.483207,216.3
366IZ1rWTK,17.09649,50.483252,222.3
366IZ1rWTe,17.095431,50.483383,216.3
366IZ1rWTj,17.095124,50.483421,216.8
366IZ1rWTx,17.094217,50.483533,220.4
366IZ1rWTy,17.094283,50.483525,214.5
366IZ1rWTz,17.094121,50.483545,219.3
366IZ1rWU8,17.093596,50.483609,218.9
366IZ1rWUI,17.093134,50.483666,212.8
366IZ1rWUJ,17.092943,50.48369,218.9
366IZ1rWUQ,17.09256,50.483737,217.4
366IZ1rWUR,17.092556,50.483738,214.8
366IZ1rWUU,17.092305,50.483769,218.3
366IZ1rWUd,17.091733,50.483839,220.0
366IZ1rWUe,17.091634,50.483851,221.9
366IZ1rWUl,17.091251,50.483899,220.4
366IZ1rWUo,17.091103,50.483917,219.0
366IZ1rWV4,17.090198,50.484028,216.9
366IZ1rWV5,17.090124,50.484038,217.6
366IZ1rWV6,17.090092,50.484042,216.3
366IZ1rWV9,17.089952,50.484059,214.6
366IZ1rWVA,17.089852,50.484071,216.5
366IZ1rWVD,17.08961,50.484101,219.5
366IZ1rWW4,17.086516,50.484482,217.2
366IZ1rWWA,17.086274,50.484512,211.8
366IZ1rWWc,17.084515,50.484729,216.5
366IZ1rnQg,17.117362,50.480548,222.8
366IZ1rnQj,17.117293,50.480556,217.7
366IZ1rnQk,17.117293,50.480556,215.0
366IZ1rnQq,17.116831,50.480613,219.8
366IZ1rnQw,17.116493,50.480655,219.0
366IZ1rnR0,17.11631,50.480678,216.4
366IZ1rnRJ,17.115127,50.480824,218.8
366IZ1rnRO,17.114871,50.480856,216.9
366IZ1rnRR,17.114693,50.480877,216.9
366IZ1rnRr,17.113164,50.481066,216.1
366IZ1rnRs,17.113057,50.48108,218.3
366IZ1rnRu,17.112952,50.481093,217.6
366IZ1rnS4,17.112338,50.481168,218.5
366IZ1rnS8,17.112174,50.481189,215.1
366IZ1rnS9,17.111974,50.481213,221.6
366IZ1rnSJ,17.111485,50.481274,216.7
366IZ1rnSK,17.111443,50.481279,215.9
366IZ1rnSQ,17.111059,50.481326,217.1
366IZ1rnSX,17.110641,50.481378,217.2
366IZ1rnSY,17.110533,50.481391,219.5
366IZ1rnSZ,17.11053,50.481392,216.8
366IZ1rnSa,17.110506,50.481395,215.2
366IZ1rnSc,17.110437,50.481403,212.9
366IZ1rnSw,17.109163,50.481561,216.8
366IZ1rnSx,17.109126,50.481565,215.8
366IZ1rnT0,17.108889,50.481594,218.5
366IZ1rnT1,17.108823,50.481602,218.8
366IZ1rnT4,17.108608,50.481629,220.5
366IZ1rnT6,17.108568,50.481634,216.8
366IZ1rnT7,17.108515,50.48164,216.5
366IZ1rnTD,17.108165,50.481684,216.3
366IZ1rnTF,17.108046,50.481698,216.3
366IZ1rnTP,17.107367,50.481782,220.2
366IZ1rnTU,17.107168,50.481807,215.6
366IZ1rnTb,17.106714,50.481863,217.4
366IZ1rnTc,17.106599,50.481877,220.0
366IZ1rnTo,17.105981,50.481953,215.6
366IZ1rnTp,17.105877,50.481966,217.6
366IZ1rnTx,17.10543,50.482021,216.3
366IZ1rnTy,17.105362,50.48203,216.7
366IZ1rnU0,17.105262,50.482042,215.8
366IZ1rnU6,17.104933,50.482083,214.5
366IZ1rnU7,17.104851,50.482093,215.6
366IZ1rnUE,17.104445,50.482143,215.1
366IZ1rnUN,17.103815,50.482221,219.6
366IZ1rnUT,17.103469,50.482263,219.1
366IZ1rnUV,17.103397,50.482272,216.9
366IZ1rnUX,17.103301,50.482284,215.9
366IZ1rnUh,17.102646,50.482365,218.7
366IZ1rnUm,17.102413,50.482394,215.7
366IZ1rnVB,17.100853,50.482586,219.2
366IZ1rnVK,17.100336,50.48265,218.4
366IZ1rnVL,17.100291,50.482656,217.7
366IZ1rnVM,17.10031,50.482653,214.1
366IZ1rnWI,17.096825,50.483083,216.0
366IZ1rnWM,17.096587,50.483113,216.0
366IZ1rnWl,17.095104,50.483296,216.0
366IZ1rnX0,17.09426,50.4834,213.8
366IZ1rnX1,17.094118,50.483417,217.7
366IZ1rnXe,17.091865,50.483695,214.9
366IZ1rnXf,17.09176,50.483708,217.0
366IZ1rnXg,17.091608,50.483727,221.3
366IZ1rnYB,17.08999,50.483927,211.0
366IZ1rnZC,17.08632,50.484379,208.0
366IZ1rnZV,17.085049,50.484536,214.7
366IZ1rnZd,17.084617,50.484589,212.7
366IZ1rnZe,17.084567,50.484595,212.3
366IZ1rnZg,17.084429,50.484612,213.2
366IZ1rnZk,17.084144,50.484647,215.5
366IZ1rnZl,17.084102,50.484652,214.6
366IZ1rnZm,17.084061,50.484657,213.8
366IZ1rnZp,17.083834,50.484685,216.1
366IZ1rnZq,17.083778,50.484692,216.0
366IZ1rnZz,17.083201,50.484763,218.0
366IZ1rna0,17.083149,50.48477,217.7
366IZ1rnaA,17.082646,50.484832,213.5
366IZ1s4T0,17.120029,50.480091,218.8
366IZ1s4T2,17.119883,50.480109,220.1
366IZ1s4T6,17.119757,50.480124,214.8
366IZ1s4T9,17.11952,50.480153,217.6
366IZ1s4TF,17.119094,50.480206,220.7
366IZ1s4TK,17.118857,50.480235,217.9
366IZ1s4TL,17.11884,50.480238,216.0
366IZ1s4TN,17.118634,50.480263,220.0
366IZ1s4TP,17.118573,50.48027,217.3
366IZ1s4TU,17.11825,50.48031,218.5
366IZ1s4TV,17.118228,50.480313,216.8
366IZ1s4Ta,17.117934,50.48035,216.6
366IZ1s4Tb,17.117845,50.48036,217.9
366IZ1s4Te,17.117661,50.480383,218.2
366IZ1s4Tg,17.117608,50.48039,215.1
366IZ1s4Tj,17.117324,50.480425,220.0
366IZ1s4Tk,17.117297,50.480428,218.5
366IZ1s4Tq,17.116857,50.480482,222.4
366IZ1s4Tw,17.116718,50.4805,212.2
366IZ1s4Tz,17.116536,50.480522,212.4
366IZ1s4U0,17.1164,50.480539,216.0
366IZ1s4U3,17.116263,50.480556,214.0
366IZ1s4U4,17.116165,50.480568,215.8
366IZ1s4UD,17.115525,50.480647,220.7
366IZ1s4UE,17.115511,50.480649,218.5
366IZ1s4UQ,17.114836,50.480732,216.7
366IZ1s4US,17.114643,50.480756,220.2
366IZ1s4UT,17.114577,50.480764,220.5
366IZ1s4UU,17.114611,50.48076,216.1
366IZ1s4UV,17.114393,50.480787,223.5
366IZ1s4Uc,17.114156,50.480816,215.2
366IZ1s4Uv,17.112972,50.480963,217.7
366IZ1s4V5,17.112403,50.481033,216.5
366IZ1s4V6,17.112316,50.481044,217.8
366IZ1s4VA,17.112105,50.48107,216.5
366IZ1s4VC,17.111909,50.481094,220.1
366IZ1s4VD,17.111866,50.481099,219.3
366IZ1s4VG,17.111655,50.481125,220.9
366IZ1s4VY,17.110682,50.481245,216.3
366IZ1s4Va,17.110572,50.481259,215.9
366IZ1s4Vi,17.11001,50.481328,219.9
366IZ1s4Vz,17.109078,50.481443,216.2
366IZ1s4W2,17.1088,50.481478,220.9
366IZ1s4W3,17.108769,50.481482,219.6
366IZ1sLVc,17.121574,50.479772,217.2
366IZ1sLVd,17.121524,50.479778,216.7
366IZ1sLVe,17.121406,50.479793,219.5
366IZ1sLVq,17.120841,50.479863,212.5
366IZ1sLVr,17.120677,50.479883,217.4
366IZ1sLVs,17.12064,50.479887,216.3
366IZ1sLVt,17.120452,50.479911,222.3
366IZ1sLVu,17.12058,50.479895,213.6
366IZ1sLVv,17.120439,50.479912,217.4
366IZ1sLW2,17.120013,50.479965,217.8
366IZ1sLW3,17.11991,50.479978,219.8
366IZ1sLW4,17.119907,50.479978,217.2
366IZ1sLW6,17.119841,50.479986,214.7
366IZ1sLW8,17.119694,50.480004,216.0
366IZ1sLWA,17.119588,50.480017,215.4
366IZ1sLWB,17.119535,50.480024,215.1
366IZ1sLWG,17.119186,50.480067,217.5
366IZ1sLWM,17.118793,50.480116,219.1
366IZ1sLWT,17.118509,50.480151,213.0
366IZ1sLWW,17.117901,50.480226,233.0
366IZ1sLWX,17.118221,50.480186,215.3
366IZ1sLWZ,17.117962,50.480218,221.8
366IZ1sLWa,17.117928,50.480223,220.7
366IZ1sLWd,17.117542,50.48027,230.3
366IZ1sLWh,17.117567,50.480267,218.1
366IZ1sLWi,17.117447,50.480282,220.8
366IZ1sLWj,17.117216,50.48031,228.9
366IZ1sLWk,17.117099,50.480325,231.5
366IZ1sLX0,17.116483,50.480401,215.9
366IZ1sLX3,17.116367,50.480416,213.0
366IZ1sLX4,17.116232,50.480432,216.5
366IZ1sLXB,17.116042,50.480456,205.9
366IZ1sLXD,17.115519,50.48052,224.7
366IZ1sLXK,17.115226,50.480556,219.0
366IZ1sLXY,17.11438,50.480661,219.6
366IZ1sLXZ,17.114357,50.480664,217.9
366IZ1sLXw,17.112904,50.480843,221.9
366IZ1sLXx,17.112915,50.480842,218.6
366IZ1sLY9,17.112178,50.480933,219.7
366IZ1sLYD,17.112021,50.480952,215.9
366IZ1sLYE,17.111869,50.480971,220.2
366IZ1sLYF,17.111861,50.480972,217.8
366IZ1sLYI,17.111631,50.481,220.2
366IZ1sLYJ,17.111711,50.480991,213.7
366IZ1sLYa,17.110617,50.481126,217.6
366IZ1sLYd,17.11048,50.481143,215.6
366IZ1scYJ,17.122761,50.479498,218.3
366IZ1scYV,17.122089,50.479581,216.4
366IZ1scYW,17.121999,50.479592,217.8
366IZ1scYZ,17.121855,50.47961,216.2
366IZ1scYa,17.121827,50.479613,214.7
366IZ1scYe,17.12156,50.479646,216.1
366IZ1scYf,17.121512,50.479652,215.5
366IZ1scYg,17.121429,50.479662,216.6
366IZ1scYk,17.12116,50.479696,218.0
366IZ1scYl,17.121042,50.47971,220.8
366IZ1scYp,17.120825,50.479737,219.8
366IZ1scYq,17.120873,50.479731,214.8
366IZ1scYs,17.120791,50.479741,213.1
366IZ1scYt,17.120615,50.479763,218.5
366IZ1scYu,17.120645,50.479759,214.3
366IZ1scYv,17.120461,50.479782,220.1
366IZ1scZ4,17.119997,50.479839,216.8
366IZ1scZ6,17.119893,50.479852,216.1
366IZ1scZR,17.11841,50.480035,226.9
366IZ1scZT,17.118514,50.480023,216.5
366IZ1scZW,17.117651,50.480129,248.4
366IZ1scZY,17.117691,50.480124,241.0
366IZ1scZZ,17.11748,50.48015,248.0
366IZ1scZa,17.118013,50.480084,220.5
366IZ1scZb,17.117894,50.480099,223.2
366IZ1scZe,17.11758,50.480138,229.5
366IZ1scZf,17.117161,50.480189,246.3
366IZ1scZk,17.117339,50.480168,224.1
366IZ1scZn,17.117027,50.480206,230.3
366IZ1scZp,17.117249,50.480179,214.4
366IZ1scZs,17.116902,50.480222,222.3
366IZ1scZx,17.116682,50.480249,218.7
366IZ1scZz,17.116724,50.480244,211.2
366IZ1sca4,17.116379,50.480287,213.4
366IZ1sca7,17.11619,50.48031,213.9
366IZ1scaA,17.116117,50.480319,209.0
366IZ1scaB,17.11593,50.480342,214.9
366IZ1scaD,17.115899,50.480346,210.8
366IZ1scaE,17.115623,50.48038,220.9
366IZ1scaG,17.115474,50.480398,222.3
366IZ1scaH,17.115573,50.480386,214.9
366IZ1scaI,17.115737,50.480366,204.5
366IZ1scaJ,17.115206,50.480431,226.5
366IZ1scaP,17.115136,50.48044,213.1
366IZ1scaX,17.114613,50.480505,215.3
366IZ1scaZ,17.114494,50.480519,215.3
366IZ1scbf,17.110456,50.481018,215.0
366IZ1scbo,17.110066,50.481066,208.2
366IZ1scc0,17.109197,50.481174,215.5
366IZ1scc1,17.109021,50.481195,220.9
366IZ1scc2,17.109034,50.481194,217.5
366IZ1sccJ,17.107916,50.481332,222.5
366IZ1sccK,17.107976,50.481324,217.0
366IZ1sccL,17.107877,50.481336,218.8
366IZ1stb3,17.123764,50.479246,219.8
366IZ1stb6,17.123645,50.479261,217.1
366IZ1stbA,17.123435,50.479287,215.8
366IZ1stbB,17.123332,50.4793,217.8
366IZ1stbD,17.123173,50.479319,219.6
366IZ1stbE,17.123194,50.479317,215.9
366IZ1stbG,17.123036,50.479336,217.7
366IZ1stbL,17.12271,50.479376,219.0
366IZ1stbX,17.122037,50.47946,217.0
366IZ1stbb,17.121776,50.479492,218.1
366IZ1stbh,17.121516,50.479524,213.6
366IZ1stbw,17.120671,50.479629,211.4
366IZ1stc8,17.119888,50.479725,214.6
366IZ1stcE,17.119468,50.479777,217.5
366IZ1stcW,17.118352,50.479915,219.5
366IZ1stcY,17.118174,50.479937,222.3
366IZ1stcZ,17.118243,50.479929,216.3
366IZ1stca,17.117948,50.479965,227.3
366IZ1stcc,17.118042,50.479953,217.4
366IZ1stcg,17.117768,50.479987,219.0
366IZ1stci,17.117539,50.480015,224.2
366IZ1stcn,17.117232,50.480053,224.6
366IZ1stcp,17.117152,50.480063,222.8
366IZ1stcv,17.116755,50.480112,224.6
366IZ1stcw,17.11669,50.48012,224.9
366IZ1std1,17.116671,50.480123,211.9
366IZ1std2,17.116558,50.480137,214.4
366IZ1std4,17.116537,50.480139,209.9
366IZ1stdC,17.116098,50.480194,208.1
366IZ1stdD,17.115904,50.480218,214.4
366IZ1stdE,17.115823,50.480228,215.4
366IZ1stdH,17.11552,50.480265,221.2
366IZ1stdI,17.115511,50.480266,218.8
366IZ1stdJ,17.11557,50.480259,213.3
366IZ1stdR,17.115054,50.480323,215.2
366IZ1stdY,17.114631,50.480375,215.5
366IZ1steg,17.110376,50.4809,219.8
366IZ1stf3,17.108993,50.481071,220.5
366IZ1stfL,17.107949,50.4812,219.3
366IZ1stfM,17.107933,50.481202,217.3
366IZ1stfN,17.107891,50.481207,216.4
366IZ1tAdk,17.124988,50.478967,219.3
366IZ1tAdn,17.124858,50.478983,217.1
366IZ1tAdx,17.124275,50.479055,216.5
