pid,longitude,latitude,height
3m8nD0ErpF,18.279208,49.983635,211.6
3m8nD0ErpG,18.279264,49.983641,211.8
3m8nD0F8sI,18.279134,49.983753,206.5
3m8nD0FPvx,18.280962,49.984092,195.8
3m8nD0GW7z,18.28048,49.984545,194.3
3m8nD0H4E1,18.280363,49.984785,197.5
3m8nD0H4EY,18.282084,49.984985,196.5
3m8nD0HLH1,18.280226,49.984896,197.7
3m8nD0HLHa,18.282049,49.985108,196.5
3m8nD0HLHb,18.282107,49.985115,196.8
3m8nD0HcKe,18.282134,49.985245,197.3
3m8nD0HcKg,18.282273,49.985261,199.2
3m8nD0HcKi,18.282266,49.98526,192.9
3m8nD0HtNi,18.282223,49.985382,198.3
3m8nD0HtNj,18.282245,49.985385,196.6
3m8nD0IAQ3,18.279882,49.985238,196.1
3m8nD0IAQ4,18.279926,49.985243,195.6
3m8nD0IAQl,18.282154,49.985501,193.5
3m8nD0IRT4,18.279829,49.985359,198.0
3m8nD0IiW4,18.279726,49.985474,200.1
3m8nD0IiW5,18.279751,49.985477,198.6
3m8nD0IzZ4,18.27958,49.985584,199.8
3m8nD0JGc5,18.279349,49.985684,191.8
3m8nD0JXf7,18.279392,49.985816,196.1
3m8nD0JXfH,18.279978,49.985884,199.4
3m8nD0Joi6,18.279269,49.985929,200.1
3m8nD0JoiI,18.279915,49.986004,200.8
3m8nD0JoiK,18.279902,49.986002,194.2
3m8nD0JoiL,18.280033,49.986018,198.5
3m8nD0K5l8,18.279182,49.986046,197.2
3m8nD0K5l9,18.27932,49.986062,201.9
3m8nD0K5lJ,18.27978,49.986115,198.1
3m8nD0K5lK,18.279831,49.986121,198.1
3m8nD0K5lN,18.279986,49.986139,197.9
3m8nD0K5lO,18.279981,49.986139,194.7
3m8nD0KMoB,18.279347,49.986192,205.3
3m8nD0KMoG,18.279497,49.98621,199.0
3m8nD0KMoL,18.279741,49.986238,197.9
3m8nD0KMoW,18.280294,49.986302,196.4
3m8nD0KMoY,18.280385,49.986313,195.6
3m8nD0KMob,18.280586,49.986336,198.0
3m8nD0KdrM,18.279684,49.986358,199.6
3m8nD0KdrN,18.279694,49.98636,197.2
3m8nD0KuuA,18.278822,49.986385,194.6
3m8nD0LBx9,18.27861,49.986488,193.6
3m8nD0LBxB,18.278759,49.986505,196.0
3m8nD0LT0D,18.278708,49.986626,195.1
3m8nD0Lk3A,18.278411,49.986719,195.2
3m8nD0Lk3B,18.278482,49.986727,196.2
3m8nD0M16B,18.278375,49.986842,198.1
3m8nD0M16C,18.278406,49.986845,196.8
3m8nD0M16D,18.278436,49.986849,195.6
3m8nD0MI9D,18.278339,49.986965,198.0
3m8nD0MZBD,18.274886,49.986692,195.6
3m8nD0MZBE,18.275118,49.986718,205.5
3m8nD0MZBF,18.275003,49.986705,196.2
3m8nD0MZCF,18.278301,49.987087,197.8
3m8nD0MqEC,18.27485,49.986814,204.3
3m8nD0MqEF,18.274924,49.986823,199.6
3m8nD0MqEG,18.275161,49.98685,209.8
3m8nD0MqEH,18.275084,49.986841,202.7
3m8nD0MqEI,18.275141,49.986848,202.9
3m8nD0N7HC,18.274702,49.986924,203.9
