pid,longitude,latitude,height
366IZ1rGAT,16.928139,50.504019,233.7
366IZ1rXDS,16.928297,50.503872,232.6
366IZ1rXDX,16.928044,50.503903,230.9
366IZ1rXDY,16.928,50.503908,230.2
366IZ1roGV,16.928235,50.503752,231.0
366IZ1roGX,16.928047,50.503775,234.5
366IZ1roGY,16.928082,50.503771,230.0
366IZ1s5JW,16.928213,50.503627,233.1
366IZ1s5JX,16.92811,50.50364,235.3
366IZ1uYl3,16.927018,50.502626,232.5
366IZ1v6mP,16.944004,50.5003,229.0
366IZ1vNpW,16.943603,50.500222,232.5
366IZ1ves7,16.945279,50.49989,225.7
366IZ1vvv1,16.945546,50.49973,233.5
366IZ1vvv2,16.945572,50.499727,229.5
366IZ1wCy4,16.945505,50.499607,230.9
366IZ1yPKw,16.950212,50.498013,231.1
366IZ1ygNy,16.950247,50.497881,227.6
366IZ1zETR,16.952176,50.497391,234.9
366IZ1zETa,16.951734,50.497445,230.9
366IZ1zVWT,16.95221,50.497259,231.5
366IZ1zVWU,16.952254,50.497254,226.6
366IZ1zVWV,16.95217,50.497264,227.8
366IZ21htd,16.95595,50.495783,228.0
366IZ2E54n,16.958973,50.489676,225.9
366IZ2EM7p,16.95893,50.489554,226.2
366IZ2EuDz,16.958502,50.489351,226.4
366IZ2FBH1,16.958446,50.489231,227.3
366IZ2GHTG,16.95793,50.488784,225.2
366IZ2GYWJ,16.957866,50.488664,223.7
366IZ2H6cQ,16.957549,50.488448,226.9
366IZ2H6cS,16.957394,50.488467,228.7
366IZ2HNfU,16.957372,50.488342,228.0
366IZ2JJ0t,16.956475,50.487559,227.7
366IZ2Jr70,16.956227,50.487334,227.5
366IZ2LEMI,16.955484,50.486788,231.8
366IZ2LEMJ,16.955426,50.486795,231.8
366IZ2LVPL,16.955438,50.486666,229.4
366IZ2MKYD,16.956171,50.486194,228.1
366IZ2NQkU,16.95561,50.485752,222.6
366IZ2NQkV,16.955431,50.485774,228.4
366IZ2NQkZ,16.955194,50.485803,228.5
366IZ2NQrW,16.930061,50.48887,230.0
366IZ2NhnV,16.955547,50.485633,226.6
366IZ2NhnW,16.955553,50.485632,223.5
366IZ2Nhnb,16.955115,50.485685,230.5
366IZ2Nhnf,16.955033,50.485695,223.3
366IZ2Nyqa,16.955317,50.485533,227.5
366IZ2Nyqc,16.955285,50.485537,223.4
366IZ2Nyqe,16.955011,50.48557,230.9
366IZ2Nyqh,16.954984,50.485574,223.9
366IZ2Nyqk,16.954661,50.485613,230.9
366IZ2OFtf,16.955026,50.485441,231.2
366IZ2OFtg,16.955082,50.485434,225.7
366IZ2OFtm,16.954561,50.485498,233.9
366IZ2OWwp,16.954503,50.485377,232.1
366IZ2Onzr,16.954593,50.485239,226.0
366IZ2Onzs,16.954474,50.485254,228.9
366IZ2Onzt,16.954517,50.485249,224.1
366IZ2P52t,16.954472,50.485126,230.0
366IZ2P52v,16.954421,50.485133,226.9
366IZ2P52x,16.954223,50.485157,230.8
366IZ2P59m,16.929639,50.488156,228.3
366IZ2PM5w,16.954326,50.485017,232.4
366IZ2PM5x,16.954218,50.48503,234.8
366IZ2PM62,16.953953,50.485062,233.5
366IZ2Pd91,16.954072,50.48492,234.4
366IZ2Pd93,16.953936,50.484937,235.3
366IZ2Pd94,16.953913,50.48494,233.6
366IZ2PuC4,16.954058,50.484794,230.5
366IZ2PuC5,16.953965,50.484806,232.2
366IZ2QBF6,16.953984,50.484676,232.2
366IZ2QjQf,16.9342,50.486836,224.8
366IZ2YQjW,16.947713,50.481617,227.4
366IZ2YhmY,16.947699,50.481491,226.3
366IZ2ZWvm,16.947135,50.481178,225.6
366IZ2ZWvn,16.947155,50.481175,221.8
366IZ2ZWvo,16.947106,50.481181,221.4
366IZ2ZWvq,16.946998,50.481194,221.0
366IZ2ZWvs,16.946853,50.481212,222.3
366IZ2ZWvv,16.946669,50.481235,222.8
366IZ2ZWw2,16.946221,50.481289,224.7
366IZ2Znyo,16.947138,50.48105,223.6
366IZ2Znyp,16.94716,50.481047,219.8
366IZ2Znys,16.947013,50.481065,218.5
366IZ2Znyu,16.946778,50.481094,224.1
366IZ2Znz4,16.946253,50.481158,221.4
366IZ2a51o,16.947201,50.480915,224.4
366IZ2a51s,16.947132,50.480923,216.6
366IZ2aM4q,16.947171,50.480791,224.1
366IZ2bBDl,16.947719,50.480342,223.1
