pid,longitude,latitude,height
3E4jb4wOBJ,19.533131,49.834388,307.5
3E4jb4wfEN,19.532904,49.834287,313.1
3E4jb4wfEO,19.532859,49.834292,312.9
3E4jb4wwHN,19.533073,49.834141,307.0
3E4jb4wwHO,19.533058,49.834143,304.9
3E4jb4wwHP,19.532906,49.83416,311.0
3E4jb4wwHR,19.532838,49.834167,309.1
3E4jb4wwHW,19.532666,49.834187,304.3
3E4jb4wwHZ,19.532374,49.834219,312.9
3E4jb4wwHa,19.532417,49.834215,307.3
3E4jb4wwHc,19.532243,49.834234,311.7
3E4jb4xDKY,19.532652,49.834062,303.2
3E4jb4xDKZ,19.532578,49.83407,304.6
3E4jb4xDKb,19.532366,49.834093,311.3
3E4jb4xDKc,19.532343,49.834096,309.7
3E4jb4xDKd,19.53218,49.834114,316.5
3E4jb4xDKe,19.532248,49.834107,309.4
3E4jb4xDKf,19.532148,49.834118,312.4
3E4jb4xDKh,19.531984,49.834136,316.3
3E4jb4xDKk,19.531978,49.834137,307.6
3E4jb4xUNA,19.533672,49.83382,318.2
3E4jb4xUNB,19.53366,49.833822,315.9
3E4jb4xUNQ,19.533071,49.833888,306.1
3E4jb4xUNR,19.532972,49.833899,309.1
3E4jb4xUNS,19.533019,49.833894,303.2
3E4jb4xUNT,19.532974,49.833899,302.9
3E4jb4xUNg,19.532192,49.833986,310.8
3E4jb4xUNh,19.532202,49.833985,307.2
3E4jb4xUNl,19.531947,49.834013,310.4
3E4jb4xUNm,19.531901,49.834019,310.2
3E4jb4xUNn,19.531811,49.834028,312.6
3E4jb4xUNp,19.531754,49.834035,310.0
3E4jb4xUNq,19.53169,49.834042,310.8
3E4jb4xUNr,19.531695,49.834042,307.5
3E4jb4xUNs,19.53162,49.83405,309.0
3E4jb4xUNx,19.531355,49.834079,309.8
3E4jb4xlQB,19.533713,49.833689,316.8
3E4jb4xlQC,19.533657,49.833695,317.2
3E4jb4xlQD,19.533612,49.8337,316.8
